road_id,status,roadmst_id,roadmst_name,directional_tendency,road_name_type,road_class,road_type,one_way_dir,high_address,low_address,address_range,odd_side,from_roadint_id,to_roadint_id,truck_route,snow_removal,from_roadint_name,to_roadint_name,OBJECTID,land_use,transit_class,implementation_class,SHAPESTLength
123214,A,110458,TIMBERLINE RD,EW,RD,Local,ROAD,0,200,50,50 - 200,R,618455,999991,,2,AMBRIDGEFELD RD,EAST END OF ROAD,10417,Hillside,,,2065.952212
159006,A,113833,AMBRIDGEFELD RD,EW,RD,Local,ROAD,0,250,200,200 - 250,R,618455,999991,,3,TIMBERLINE RD,EAST END OF ROAD,10418,Hillside,,,404.4709535
123238,A,108821,RIMROCK CT,EW,CT,Local,ROAD,0,178,164,164 - 178,R,999993,618467,,3,NORTH END OF ROAD,RIMROCK RD,10419,Hillside,,,326.716602
123253,A,108833,RIMROCK RD,EW,RD,Local,ROAD,0,171,167,167 - 171,R,618455,618467,,2,AMBRIDGEFELD RD,RIMROCK CT,10420,Hillside,,,410.3793451
123265,A,108833,RIMROCK RD,EW,RD,Local,ROAD,0,180,172,172 - 180,R,618467,618481,,2,RIMROCK CT,LAKESHORE RD,10421,Hillside,,,421.3172682
123291,A,105763,LAKESHORE RD,EW,RD,Collector,ROAD,0,5799,5700,5700 - 5799,R,618479,618481,,1,SWICK RD,RIMROCK RD,10422,Rural,,,367.3454309
123315,A,105763,LAKESHORE RD,EW,RD,Minor Arterial,ROAD,0,5699,5360,5360 - 5699,R,618481,618113,,1,RIMROCK RD,ASPEN RD,10426,Rural,,,2463.387972
122717,A,111967,TANAGER DR,EW,DR,Collector,ROAD,0,345,300,300 - 345,R,618190,620232,,2,STELLAR CT,RAVEN DR,10427,Suburban,,,264.2081339
154649,A,111967,TANAGER DR,EW,DR,Collector,ROAD,0,400,346,346 - 400,R,620232,622046,,2,RAVEN DR,MCCARREN AVE,10428,Suburban,,,127.7764175
154652,A,108579,RAVEN DR,NS,DR,Local,ROAD,0,320,250,250 - 320,R,620232,620244,,2,TANAGER DR,PHOEBE CT,10429,Suburban,,,248.3216325
152431,A,110268,TANAGER CT,EW,CT,Local,ROAD,0,5432,5300,5300 - 5432,R,999990,618190,,3,WEST END OF ROAD,STELLAR CT,10430,Suburban,,,163.2681001
122729,A,109898,STELLAR DR,NS,DR,Collector,ROAD,0,320,297,297 - 320,R,618190,618202,,2,STELLAR CT,GROUSE AVE,10431,Suburban,,,232.0769173
122857,A,111930,SANDPIPER CT,NS,CT,Local,ROAD,0,315,280,280 - 315,R,999992,618214,,3,SOUTH END OF ROAD,GROUSE AVE,10432,Suburban,,,175.9649074
159018,A,112235,PROVIDENCE AVE,EW,AVE,Local,ROAD,0,312,300,300 - 312,R,622034,621754,,3,QUILCHENA DR,PTARMIGAN ST,10433,Suburban,,,92.89236342
159071,A,112247,QUILCHENA DR,NS,DR,Collector,ROAD,0,349,312,312 - 349,R,622034,621412,,2,PROVIDENCE AVE,RAVEN DR,10434,Suburban,Local,,305.6621368
159069,A,112247,QUILCHENA DR,NS,DR,Collector,ROAD,0,311,300,300 - 311,R,622046,622034,,2,MCCARREN AVE,PROVIDENCE AVE,10435,Suburban,Local,,94.42894167
159044,A,112538,MCCARREN AVE,EW,AVE,Local,ROAD,0,324,300,300 - 324,R,622046,622061,,2,TANAGER DR,JEWELL LANE,10436,Suburban,,,165.939025
159020,A,112235,PROVIDENCE AVE,EW,AVE,Local,ROAD,0,324,313,313 - 324,R,621754,622059,,3,PTARMIGAN ST,JEWELL LANE,10437,Suburban,,,50.076468
159032,A,112235,PROVIDENCE AVE,EW,AVE,Local,ROAD,0,345,325,325 - 345,R,622059,621766,,3,JEWELL LANE,PTARMIGAN ST,10438,Suburban,,,191.9642439
158384,A,113593,PTARMIGAN ST,EW,ST,Local,ROAD,0,5380,5300,5300 - 5380,R,621754,621766,,3,PROVIDENCE AVE,PROVIDENCE AVE,10439,Suburban,,,348.5771117
159057,A,113845,JEWELL LANE,NS,LANE,Local,ROAD,0,5313,5300,5300 - 5313,L,622059,622061,,3,PROVIDENCE AVE,MCCARREN AVE,10441,Suburban,,,94.98535586
158396,A,113593,PTARMIGAN ST,NS,ST,Local,ROAD,0,5400,5381,5381 - 5400,R,621766,621778,,3,PROVIDENCE AVE,MCCARREN AVE,10442,Suburban,,,94.01157301
157521,A,113314,CONNALY LANE,NS,LANE,Local,ROAD,0,5385,5350,5350 - 5385,R,621335,621350,,3,PROVIDENCE AVE,MCCARREN AVE,10443,Suburban,,,94.05155467
157558,A,112538,MCCARREN AVE,EW,AVE,Local,ROAD,0,365,355,355 - 365,R,621350,621374,,2,CONNALY LANE,TRILLIUM LANE,10444,Suburban,,,91.36228373
158408,A,112538,MCCARREN AVE,EW,AVE,Local,ROAD,0,354,345,345 - 354,R,621778,621350,,2,PTARMIGAN ST,CONNALY LANE,10445,Suburban,,,106.216719
122794,A,100418,ASPEN RD,EW,RD,Local,ROAD,0,400,300,300 - 400,L,618113,999991,,3,LAKESHORE RD,EAST END OF ROAD,10446,Rural,,,60.53879149
122806,A,104253,GROUSE AVE,EW,AVE,Local,ROAD,0,5321,5320,5320 - 5321,L,618202,618214,,2,STELLAR DR,SANDPIPER ST,10448,Suburban,,,95.01093992
122820,A,109898,STELLAR DR,EW,DR,Collector,ROAD,0,460,321,321 - 460,R,618202,618176,,2,GROUSE AVE,OKAVIEW RD,10449,Suburban,,,876.3190835
122844,A,109165,SANDPIPER ST,NS,ST,Local,ROAD,0,355,314,314 - 355,R,618214,618226,,2,GROUSE AVE,THRASHER AVE,10450,Suburban,,,125.202306
122869,A,108579,RAVEN DR,NS,DR,Local,ROAD,0,350,321,321 - 350,R,620244,618238,,2,PHOEBE CT,THRASHER AVE,10451,Suburban,,,111.9358569
154664,A,112476,PHOEBE CT,EW,CT,Local,ROAD,0,350,300,300 - 350,R,620244,999993,,3,RAVEN DR,NORTH END OF ROAD,10452,Suburban,,,113.7167483
158372,A,112235,PROVIDENCE AVE,EW,AVE,Local,ROAD,0,349,346,346 - 349,R,621766,621347,,3,PTARMIGAN ST,TULAMEEN RD,10453,Suburban,,,76.28907525
157519,A,112235,PROVIDENCE AVE,EW,AVE,Local,ROAD,0,354,350,350 - 354,R,621347,621335,,3,TULAMEEN RD,CONNALY LANE,10454,Suburban,,,29.92698572
157507,A,112235,PROVIDENCE AVE,EW,AVE,Local,ROAD,0,364,355,355 - 364,R,621335,621362,,3,CONNALY LANE,TRILLIUM LANE,10455,Suburban,,,63.61236535
157495,A,112235,PROVIDENCE AVE,EW,AVE,Local,ROAD,0,389,365,365 - 389,R,621362,620877,,3,TRILLIUM LANE,WINSLOW ST,10456,Suburban,,,90.54364395
157533,A,113302,TRILLIUM LANE,EW,LANE,Local,ROAD,0,5375,5350,5350 - 5375,,621362,621374,,3,PROVIDENCE AVE,MCCARREN AVE,10457,Suburban,,,97.60675146
154880,A,112565,TULAMEEN RD,NS,RD,Local,ROAD,0,440,399,399 - 440,R,999992,620319,,3,SOUTH END OF ROAD,PROVIDENCE AVE,10458,Suburban,,,364.752595
155616,A,112538,MCCARREN AVE,NS,AVE,Local,ROAD,0,399,380,380 - 399,R,620865,620321,,2,WINSLOW ST,TIMBLE LANE,10459,Suburban,,,125.9102162
156606,A,112918,WINSLOW ST,EW,ST,Local,ROAD,0,5355,5325,5325 - 5355,R,620877,620865,,3,PROVIDENCE AVE,MCCARREN AVE,10460,Suburban,,,94.30482405
157545,A,112538,MCCARREN AVE,NS,AVE,Local,ROAD,0,379,366,366 - 379,R,621374,620865,,2,TRILLIUM LANE,WINSLOW ST,10461,Suburban,,,90.50220015
122883,A,110433,THRASHER AVE,NS,AVE,Local,ROAD,0,5449,5400,5400 - 5449,R,618238,618226,,2,RAVEN DR,SANDPIPER ST,10463,Suburban,,,66.65478403
122919,A,109165,SANDPIPER ST,EW,ST,Local,ROAD,0,400,356,356 - 400,R,618226,999993,,3,THRASHER AVE,NORTH END OF ROAD,10464,Suburban,,,91.10309201
122907,A,108579,RAVEN DR,EW,DR,Local,ROAD,0,400,351,351 - 400,R,618238,621412,,2,THRASHER AVE,QUILCHENA DR,10465,Suburban,,,152.7544478
155630,A,112247,QUILCHENA DR,EW,DR,Collector,ROAD,0,380,350,350 - 380,R,621412,620535,,2,RAVEN DR,QUILCHENA CR,10466,Suburban,Local,,345.8118613
153712,A,112235,PROVIDENCE AVE,NS,AVE,Local,ROAD,0,418,400,400 - 418,R,620319,619875,,2,TULAMEEN RD,ALLENBY LANE,10467,Core Area,,,135.5414973
155438,A,112235,PROVIDENCE AVE,NS,AVE,Local,ROAD,0,399,390,390 - 399,R,620877,620319,,3,WINSLOW ST,TULAMEEN RD,10468,Suburban,,,101.3849192
154815,A,112553,TIMBLE LANE,EW,LANE,Local,ROAD,0,5315,5200,5200 - 5315,L,620319,620321,,2,PROVIDENCE AVE,MCCARREN AVE,10469,Core Area,,,95.09022512
154955,A,112538,MCCARREN AVE,NS,AVE,Local,ROAD,0,407,400,400 - 407,R,620321,620384,,3,TIMBLE LANE,MAIN ST,10470,Core Area,,,62.80462831
154979,A,112591,MAIN ST,EW,ST,Collector,ROAD,0,5315,5300,5300 - 5315,R,620384,620853,,3,MCCARREN AVE,CHUTE LAKE RD,10471,Core Area,,,107.7885808
154967,A,112538,MCCARREN AVE,NS,AVE,Collector,ROAD,0,414,408,408 - 414,R,620384,620295,,3,MAIN ST,ALLENBY LANE,10472,Core Area,,,59.53946489
158004,A,102069,CHUTE LAKE RD,NS,RD,Minor Arterial,ROAD,0,5328,5300,5300 - 5328,R,620853,619851,,1,MAIN ST,QUILCHENA DR,10473,Core Area,Local,,132.5090128
153674,A,113579,HEDEMAN CT,NS,CT,Collector,ROAD,0,5319,5299,5299 - 5319,R,618303,619851,,3,TRUMPETER RD,CHUTE LAKE RD,10474,Hillside,,,122.0385167
122945,A,110635,TRUMPETER RD,EW,RD,Collector,ROAD,0,467,420,420 - 467,R,618303,622806,,3,HEDEMAN CT,TRUMPETER CT,10475,Hillside,,,365.5100694
153736,A,112250,ALLENBY LANE,EW,LANE,Local,ROAD,0,5300,5270,5270 - 5300,R,619875,620295,,3,THALIA ST,MCCARREN AVE,10476,Core Area,,,94.89652053
154738,A,112526,THALIA ST,NS,ST,Local,ROAD,0,5270,5240,5240 - 5270,L,620271,619875,,2,QUILCHENA DR,ALLENBY LANE,10477,Suburban,,,145.2605967
153724,A,112235,PROVIDENCE AVE,EW,AVE,Local,ROAD,0,437,419,419 - 437,R,619875,619863,,3,ALLENBY LANE,QUILCHENA DR,10478,Core Area,,,204.886143
154740,A,112538,MCCARREN AVE,EW,AVE,Collector,ROAD,0,440,415,415 - 440,R,620295,620283,,3,ALLENBY LANE,QUILCHENA DR,10479,Core Area,,,137.0064183
154753,A,112247,QUILCHENA DR,NS,DR,Collector,ROAD,0,453,445,445 - 453,R,619863,620283,,2,PROVIDENCE AVE,MCCARREN AVE,10480,Core Area,Local,,107.1546997
153686,A,102069,CHUTE LAKE RD,EW,RD,Minor Arterial,ROAD,0,5299,5275,5275 - 5299,R,619851,618327,,1,QUILCHENA DR,LARK ST,10481,Suburban,Local,,165.9505237
154765,A,112247,QUILCHENA DR,NS,DR,Collector,ROAD,0,600,455,455 - 600,R,620283,619851,,2,MCCARREN AVE,CHUTE LAKE RD,10482,Core Area,Local,,66.26917097
